<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;230109;000000;141.84;142.99;141.65;142.4;31314900
SBER;D;230110;000000;142.11;142.85;141.31;142.81;23691190
SBER;D;230111;000000;142.97;149.98;142.87;149.96;123046960
SBER;D;230112;000000;150.05;150.79;148.39;149.3;46557290
SBER;D;230113;000000;149.57;153.28;147.71;151.69;88460580
SBER;D;230116;000000;152.85;154;151.88;153.71;51527810
SBER;D;230117;000000;153.97;154.31;150.01;150.45;84226560
SBER;D;230118;000000;150.4;153;149.41;151.47;67364580
SBER;D;230119;000000;151.2;152.85;148.56;149.34;66640910
SBER;D;230120;000000;149.7;151.4;148.64;151.38;44165570
SBER;D;230123;000000;151.9;154.1;151.01;153.5;55100140
SBER;D;230124;000000;153.94;155.58;152.28;152.66;78662030
SBER;D;230125;000000;152.45;153.6;151.5;152.81;43317800
SBER;D;230126;000000;153.32;154.3;151.73;152.4;45375340
SBER;D;230127;000000;152.4;153.48;151.69;153.2;34069080
SBER;D;230130;000000;153.5;153.88;152.21;153.38;31014210
SBER;D;230131;000000;153.51;158.18;153.3;158.07;77840320
SBER;D;230201;000000;158.2;159.6;156.5;158.29;66229060
SBER;D;230202;000000;158.39;160.29;157.37;159.45;53822290
SBER;D;230203;000000;159.09;162.32;157.88;161.26;63595690
SBER;D;230206;000000;161.71;167.17;161.01;167.09;88885050
SBER;D;230207;000000;167.3;168.7;163.4;165.39;92561690
SBER;D;230208;000000;165.1;166.35;162.7;164.15;58565870
SBER;D;230209;000000;164.35;167.47;161.27;165.31;107000260
SBER;D;230210;000000;165;166.49;164.5;165.52;40772540
SBER;D;230213;000000;165.21;166.88;164.17;164.32;36134650
SBER;D;230214;000000;164.3;164.38;161.64;161.86;58676770
SBER;D;230215;000000;160.93;161.12;153.83;156.25;113600860
SBER;D;230216;000000;157.34;159.3;156.25;158.22;68386460
SBER;D;230217;000000;157.95;160.38;156.91;159.73;51777410
SBER;D;230220;000000;159.42;161.3;156.73;160.09;63810790
SBER;D;230221;000000;160.64;165.65;159.26;164.15;127324000
SBER;D;230222;000000;164.13;164.42;162.5;163.37;43695690
SBER;D;230224;000000;163.33;165.5;163.1;164.3;37700530
SBER;D;230227;000000;163.64;170;162.96;169.95;100005170
SBER;D;230228;000000;170.48;171.92;168.37;169.82;80540860
